Table 1
שם יישוב,סמל יישוב,תעתיק,סמל מחוז,שם מחוז,סמל נפה,שם נפה,אזור טבעי,סמל מעמד מונציפאלי,שם מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,סך הכל אוכלוסייה 2024,סך הכל ישראלים 2024,יהודים ואחרים,ערבים,זרים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,קואורדינטות,גובה ממוצע,ועדת תכנון,תחנת משטרה,שנה,שם יישוב באנגלית,שם אשכול רשויות מקומיות,סמל רשות מקומית,שם רשות מקומית,סמל סוג רשות מקומית
גבע כרמל,683,GEVA KARMEL,3,חיפה,32,חדרה,321,15,מועצה אזורית חוף הכרמל,243,1,"1,179","1,044","1,044",,135,1949,310,1,196035729822,22,303,10004333,2024,Geva Karmel,אשכול רשויות מישור החוף,5515,חוף הכרמל,3
גבעולים,2014,GIV'OLIM,6,הדרום,62,באר שבע,621,39,מועצה אזורית שדות נגב,,1,560,488,488,,72,1952,310,2,161163589598,120,651,10001930,2024,Giv'olim,אשכול רשויות נגב מערבי,5539,שדות נגב,3
גבעון החדשה,3644,GIV'ON HAHADASHA,7,אזור יהודה ושומרון,74,ראמאללה,,73,מועצה אזורית מטה בנימין,445,1,"1,171","1,167","1,104",63,4,1980,370,11,215084639466,795,711,10002489,2024,Giv'on HaHadasha,אשכול יהודה ושומרון,5573,מטה בנימין,3
גבעות בר,1344,GEVA'OT BAR,6,הדרום,62,באר שבע,623,41,מועצה אזורית בני שמעון,341,1,"1,351","1,348","1,342",6,3,2004,370,19,176835585059,229,625,10001946,2024,Geva'ot Bar,אשכול רשויות נגב מערבי,5541,בני שמעון,3
גבעות הרואה,3862,GIV'OT HARO'E,7,אזור יהודה ושומרון,74,ראמאללה,,73,מועצה אזורית מטה בנימין,,,,,,,,,510,,226087662869,695,711,10003299,2024,Giv'ot HaRo'e,אשכול יהודה ושומרון,5573,מטה בנימין,3
גבעות עדן,1362,GIV'OT EDEN,1,ירושלים,11,ירושלים,112,26,מועצה אזורית מטה יהודה,,1,562,562,562,,,2022,370,,201317618970,380,151,15000597,2024,Giv'ot Eden,ללא שיוך לאשכול,5526,מטה יהודה,3
גבעת אבני,1293,GIV'AT AVNI,2,הצפון,22,כנרת,222,3,מועצה אזורית הגליל התחתון,,1,"2,143","2,132","2,132",,11,1991,190,,241426742348,282,206,10004552,2024,Giv'at Avni,אשכול רשויות הכנרת והעמקים,5503,הגליל התחתון,3
גבעת אלה,1288,GIV'AT ELA,2,הצפון,23,יזרעאל,237,9,מועצה אזורית עמק יזרעאל,,1,"1,780","1,774","1,767",7,6,1988,370,13,223296736327,262,254,10004411,2024,Giv'at Ela,אשכול רשויות הגליל והעמקים,5509,עמק יזרעאל,3
גבעת ברנר,147,GIV'AT BRENNER,4,המרכז,44,רחובות,441,28,מועצה אזורית ברנר,143,1,"2,518","2,462","2,462",,56,1928,193,,181271641675,59,456,15002488,2024,Giv'at Brenner,אשכול רשויות שורק דרומי,5528,ברנר,3
גבעת השלושה,870,GIV'AT HASHELOSHA,4,המרכז,42,פתח תקווה,422,20,מועצה אזורית דרום השרון,142,1,742,734,734,,8,1925,330,15,192757667267,29,417,10002116,2024,Giv'at HaShelosha,אשכול רשויות השרון,5520,דרום השרון,3
גבעת זאב,3730,GIV'AT ZE'EV,7,אזור יהודה ושומרון,74,ראמאללה,,99,מועצה מקומית,445,1,"25,105","24,496","24,459",37,609,1983,160,,215911640344,732,705,10002489,2024,Giv'at Ze'ev,אשכול יהודה ושומרון,3730,גבעת זאב,2
"גבעת ח""ן",207,GIV'AT HEN,4,המרכז,42,פתח תקווה,421,20,מועצה אזורית דרום השרון,131,1,532,387,385,2,145,1933,310,1,188327674956,62,417,10002133,2024,Giv'at Hen,אשכול רשויות השרון,5520,דרום השרון,3
גבעת חביבה,1740,,3,חיפה,32,חדרה,324,14,מועצה אזורית מנשה,,,,,,,,,520,,202273707129,51,351,15002436,2024,,אשכול רשויות מישור החוף,5514,מנשה,3
גבעת חיים (איחוד),2018,GIV'AT HAYYIM (IHUD),4,המרכז,41,השרון,411,16,מועצה אזורית עמק חפר,141,1,"1,283","1,223","1,223",,60,1932,330,15,193839700642,22,409,15000060,2024,Giv'at Hayyim (Ihud),ללא שיוך לאשכול,5516,עמק חפר,3
גבעת חיים (מאוחד),173,GIV'AT HAYYIM(ME'UHAD),4,המרכז,41,השרון,411,16,מועצה אזורית עמק חפר,141,1,"1,265","1,243","1,243",,22,1932,330,15,193706699759,20,409,15000060,2024,Giv'at Hayyim(Me'uhad),ללא שיוך לאשכול,5516,עמק חפר,3
גבעת יואב,4021,GIV'AT YO'AV,2,הצפון,29,גולן,294,71,מועצה אזורית גולן,,1,804,736,734,2,68,1968,310,1,264160745031,311,224,10004579,2024,Giv'at Yo'av,אשכול רשויות גליל מזרחי,5571,גולן,3
גבעת יערים,787,GIV'AT YE'ARIM,1,ירושלים,11,ירושלים,111,26,מועצה אזורית מטה יהודה,444,1,"1,271","1,264","1,264",,7,1950,310,1,208801632690,694,151,15000597,2024,Giv'at Ye'arim,ללא שיוך לאשכול,5526,מטה יהודה,3
גבעת ישעיהו,919,GIV'AT YESHA'YAHU,1,ירושלים,11,ירושלים,112,26,מועצה אזורית מטה יהודה,444,1,719,710,710,,9,1958,310,6,194899619882,299,151,15000597,2024,Giv'at Yesha'yahu,ללא שיוך לאשכול,5526,מטה יהודה,3
"גבעת כ""ח",802,GIV'AT KOAH,4,המרכז,42,פתח תקווה,422,25,מועצה אזורית חבל מודיעין,142,1,"1,023",933,933,,90,1950,310,1,194077659834,69,424,10002168,2024,Giv'at Koah,ללא שיוך לאשכול,5525,חבל מודיעין,3
"גבעת ניל""י",360,GIV'AT NILI,3,חיפה,32,חדרה,323,45,מועצה אזורית אלונה,,1,631,586,586,,45,1953,310,9,204143717073,135,351,10004233,2024,Giv'at Nili,אשכול רשויות מישור החוף,5545,אלונה,3
גבעת עוז,703,GIV'AT OZ,2,הצפון,23,יזרעאל,234,13,מועצה אזורית מגידו,,1,470,455,454,1,15,1949,330,15,218903717850,113,254,10004249,2024,Giv'at Oz,אשכול רשויות הגליל והעמקים,5513,מגידו,3
גבעת שמואל,681,GIV'AT SHEMU'EL,4,המרכז,42,פתח תקווה,422,0,עירייה,132,1,"29,405","28,735","28,637",98,670,1942,160,,186020664897,48,427,10001516,2024,Giv'at Shemu'el,ללא שיוך לאשכול,681,גבעת שמואל,1
גבעת שמש,566,GIV'AT SHEMESH,1,ירושלים,11,ירושלים,112,26,מועצה אזורית מטה יהודה,444,,,,,,,,510,,195511631385,252,151,15000597,2024,Giv'at Shemesh,ללא שיוך לאשכול,5526,מטה יהודה,3
גבעת שפירא,1077,GIV'AT SHAPPIRA,4,המרכז,41,השרון,411,16,מועצה אזורית עמק חפר,141,1,366,360,360,,6,1958,310,10,188603696003,37,409,15000060,2024,Giv'at Shappira,ללא שיוך לאשכול,5516,עמק חפר,3
גבעתי,793,GIV'ATI,6,הדרום,61,אשקלון,611,33,מועצה אזורית באר טוביה,143,1,"1,261",991,991,,270,1950,310,1,169808626830,37,616,10001821,2024,Giv'ati,אשכול רשויות שורק דרומי,5533,באר טוביה,3
גבעתיים,6300,GIV'ATAYIM,5,תל אביב,52,תל אביב,512,0,עירייה,122,1,"58,600","57,448","57,401",47,"1,152",1922,150,,182207664299,43,503,10001533,2024,Giv'atayim,ללא שיוך לאשכול,6300,גבעתיים,1
גברעם,342,GEVAR'AM,6,הדרום,61,אשקלון,614,36,מועצה אזורית חוף אשקלון,,1,725,695,695,,30,1942,330,15,163244611173,85,633,10001829,2024,Gevar'am,אשכול רשויות נגב מערבי,5536,חוף אשקלון,3
גבת,133,GEVAT,2,הצפון,23,יזרעאל,234,9,מועצה אזורית עמק יזרעאל,,1,"1,124","1,117","1,117",,7,1926,330,15,220210731149,94,254,10004411,2024,Gevat,אשכול רשויות הגליל והעמקים,5509,עמק יזרעאל,3
גדות,35,GADOT,2,הצפון,21,צפת,213,1,מועצה אזורית הגליל העליון,,1,472,463,462,1,9,1949,330,15,258253769413,116,253,10004540,2024,Gadot,אשכול רשויות גליל מזרחי,5501,הגליל העליון,3
גדיש,145,GADISH,2,הצפון,23,יזרעאל,234,8,מועצה אזורית הגלבוע,,1,359,343,343,,16,1956,310,1,223249718297,66,204,10004394,2024,Gadish,אשכול רשויות הגליל והעמקים,5508,הגלבוע,3
גדעונה,442,GID'ONA,2,הצפון,23,יזרעאל,232,8,מועצה אזורית הגלבוע,,1,521,517,517,,4,1949,350,,233975717174,-13,204,10004394,2024,Gid'ona,אשכול רשויות הגליל והעמקים,5508,הגלבוע,3
גדרה,2550,GEDERA,4,המרכז,44,רחובות,441,99,מועצה מקומית,143,1,"31,389","30,767","30,611",156,622,1884,160,,179288635555,57,431,15002488,2024,Gedera,אשכול רשויות שורק דרומי,2550,גדרה,2
"גולן דרומי מ""א 71",1966,,2,הצפון,29,גולן,294,71,מועצה אזורית גולן,,,,,,,,,530,,2704074680,,,,2024,,אשכול רשויות גליל מזרחי,5571,גולן,3
"גולן צפוני מ""א 71",1962,,2,הצפון,29,גולן,292,71,מועצה אזורית גולן,,,,,,,,,530,,2709077860,,,,2024,,אשכול רשויות גליל מזרחי,5571,גולן,3
"גולן תיכון מ""א 71",1964,,2,הצפון,29,גולן,293,71,מועצה אזורית גולן,,,,,,,,,530,,2670076100,,,,2024,,אשכול רשויות גליל מזרחי,5571,גולן,3
גונן,852,GONEN,2,הצפון,21,צפת,211,1,מועצה אזורית הגליל העליון,,1,405,387,386,1,18,1951,330,15,260748781093,90,253,10004591,2024,Gonen,אשכול רשויות גליל מזרחי,5501,הגליל העליון,3
גורן,755,GOREN,2,הצפון,24,עכו,244,52,מועצה אזורית מעלה יוסף,,1,439,419,415,4,20,1950,310,1,222435773492,366,255,10004302,2024,Goren,אשכול רשויות גליל מערבי,5552,מעלה יוסף,3
גורנות הגליל,1219,GORNOT HAGALIL,2,הצפון,24,עכו,244,52,מועצה אזורית מעלה יוסף,,1,341,338,336,2,3,1980,350,,223636773868,389,255,10004302,2024,Gornot HaGalil,אשכול רשויות גליל מערבי,5552,מעלה יוסף,3
גזית,457,GAZIT,2,הצפון,23,יזרעאל,233,9,מועצה אזורית עמק יזרעאל,,1,841,801,801,,40,1948,330,15,242215727223,128,254,15002472,2024,Gazit,אשכול רשויות הגליל והעמקים,5509,עמק יזרעאל,3
גזר,370,GEZER,4,המרכז,43,רמלה,432,30,מועצה אזורית גזר,143,1,430,416,416,,14,1945,330,15,192526642684,122,426,10002228,2024,Gezer,ללא שיוך לאשכול,5530,גזר,3
גיאה,706,GE'A,6,הדרום,61,אשקלון,614,36,מועצה אזורית חוף אשקלון,,1,772,760,760,,12,1949,310,1,162428615198,54,633,10001829,2024,Ge'a,אשכול רשויות נגב מערבי,5536,חוף אשקלון,3
גיבתון,196,GIBBETON,4,המרכז,44,רחובות,441,28,מועצה אזורית ברנר,143,1,405,397,397,,8,1933,350,,181193644067,42,456,10002241,2024,Gibbeton,אשכול רשויות שורק דרומי,5528,ברנר,3
גיזו,1043,GIZO,1,ירושלים,11,ירושלים,112,26,מועצה אזורית מטה יהודה,,1,214,214,214,,,1968,350,,194312634718,197,151,15000597,2024,Gizo,ללא שיוך לאשכול,5526,מטה יהודה,3
גילון,1204,GILON,2,הצפון,24,עכו,242,56,מועצה אזורית משגב,241,1,"1,201","1,199","1,198",1,2,1980,370,9,222506756455,297,205,10004465,2024,Gilon,אשכול רשויות בית הכרם הגלילי,5556,משגב,3
גילת,736,GILAT,6,הדרום,62,באר שבע,622,42,מועצה אזורית מרחבים,344,1,"1,666","1,573","1,573",,93,1949,310,1,166879581935,136,651,10001893,2024,Gilat,אשכול רשויות נגב מערבי,5542,מרחבים,3
גינוסר,262,GINNOSAR,2,הצפון,22,כנרת,221,6,מועצה אזורית עמק הירדן,,1,825,734,722,12,91,1937,330,15,249302750352,-203,214,10004552,2024,Ginnosar,אשכול רשויות הכנרת והעמקים,5506,עמק הירדן,3
גיניגר,92,GINNEGAR,2,הצפון,23,יזרעאל,234,9,מועצה אזורית עמק יזרעאל,,1,750,725,719,6,25,1922,330,15,224407729954,109,254,10004411,2024,Ginnegar,אשכול רשויות הגליל והעמקים,5509,עמק יזרעאל,3
גינתון,863,GINNATON,4,המרכז,43,רמלה,432,25,מועצה אזורית חבל מודיעין,142,1,"1,055","1,047","1,034",13,8,1949,310,1,191996652236,57,424,10002261,2024,Ginnaton,ללא שיוך לאשכול,5525,חבל מודיעין,3
גיתה,1206,GITTA,2,הצפון,24,עכו,243,52,מועצה אזורית מעלה יוסף,,1,290,290,290,,,1980,370,13,223619763566,430,255,10004484,2024,Gitta,אשכול רשויות גליל מערבי,5552,מעלה יוסף,3
גיתית,3613,GITTIT,7,אזור יהודה ושומרון,75,ירדן-יריחו,,75,מועצה אזורית ערבות הירדן,,1,600,592,592,,8,1973,310,9,237596667649,300,712,10003299,2024,Gittit,אשכול יהודה ושומרון,5575,ערבות הירדן,3
גלאון,393,GAL'ON,6,הדרום,61,אשקלון,611,35,מועצה אזורית יואב,,1,669,651,651,,18,1946,330,15,185602615764,199,632,10001813,2024,Gal'on,אשכול רשויות שורק דרומי,5535,יואב,3
גלגל,3606,GILGAL,7,אזור יהודה ושומרון,75,ירדן-יריחו,,75,מועצה אזורית ערבות הירדן,,1,221,200,179,21,21,1970,330,15,242368656288,-249,712,10003299,2024,Gilgal,אשכול יהודה ושומרון,5575,ערבות הירדן,3
גליל ים,346,GELIL YAM,5,תל אביב,51,תל אביב,511,19,מועצה אזורית חוף השרון,121,1,641,624,624,,17,1943,330,15,184207673810,42,401,10001605,2024,Gelil Yam,ללא שיוך לאשכול,5519,חוף השרון,3
"גליל עליון מז מ""א 1",1809,,2,הצפון,21,צפת,212,1,מועצה אזורית הגליל העליון,,,,,,,,,530,,2362077180,,,,2024,,אשכול רשויות גליל מזרחי,5501,הגליל העליון,3
"גליל עליון מז מ""א 2",1811,,2,הצפון,21,צפת,212,2,מועצה אזורית מרום הגליל,,,,,,,,,530,,2438076690,,,,2024,,אשכול רשויות גליל מזרחי,5502,מרום הגליל,3
"גליל עליון מז מ""א 55",1810,,2,הצפון,21,צפת,212,55,מועצה אזורית מבואות החרמון,,,,,,,,,530,,2508077340,,,,2024,,אשכול רשויות גליל מזרחי,5555,מבואות החרמון,3
"גליל עליון מז של""ש",1812,,2,הצפון,21,צפת,212,,חסר מעמד מוניציפלי,,,,,,,,,530,,2385076890,,,,2024,,ללא שיוך לאשכול,,,4
"גליל תחתון מז מ""א 2",1820,,2,הצפון,22,כנרת,222,2,מועצה אזורית מרום הגליל,,,,,,,,,530,,2419075400,,,,2024,,אשכול רשויות גליל מזרחי,5502,מרום הגליל,3
"גליל תחתון מז מ""א 3",1819,,2,הצפון,22,כנרת,222,3,מועצה אזורית הגליל התחתון,,,,,,,,,530,,2426074060,,,,2024,,אשכול רשויות הכנרת והעמקים,5503,הגליל התחתון,3
"גליל תחתון מז מ""א 6",1821,,2,הצפון,22,כנרת,222,6,מועצה אזורית עמק הירדן,,,,,,,,,530,,2484072760,,,,2024,,אשכול רשויות הכנרת והעמקים,5506,עמק הירדן,3
"גליל תחתון מז של""ש",1822,,2,הצפון,22,כנרת,222,,חסר מעמד מוניציפלי,,,,,,,,,530,,2416075000,,,,2024,,ללא שיוך לאשכול,,,4
גלעד (אבן יצחק),369,GAL'ED (EVEN YIZHAQ),2,הצפון,23,יזרעאל,236,13,מועצה אזורית מגידו,,1,606,583,583,,23,1945,330,15,207435718118,185,254,10004411,2024,Gal'ed (Even Yizhaq),אשכול רשויות הגליל והעמקים,5513,מגידו,3
"גמ""ל מחוז דרום",1997,,6,הדרום,62,באר שבע,623,,חסר מעמד מוניציפלי,,,,,,,,,530,,,,,,2024,,ללא שיוך לאשכול,,,4
גמזו,745,GIMZO,4,המרכז,43,רמלה,431,25,מועצה אזורית חבל מודיעין,142,1,"1,150","1,131","1,131",,19,1950,310,8,194538648349,106,424,10002261,2024,Gimzo,ללא שיוך לאשכול,5525,חבל מודיעין,3
גן הדרום,1072,GAN HADAROM,4,המרכז,44,רחובות,441,32,מועצה אזורית גדרות,143,1,658,549,549,,109,1953,310,10,171769634732,39,456,10001821,2024,Gan HaDarom,ללא שיוך לאשכול,5532,גדרות,3
גן השומרון,225,GAN HASHOMERON,3,חיפה,32,חדרה,324,14,מועצה אזורית מנשה,,1,912,838,837,1,74,1934,310,10,200085707640,44,351,10004333,2024,Gan HaShomeron,אשכול רשויות מישור החוף,5514,מנשה,3
גן חיים,239,GAN HAYYIM,4,המרכז,42,פתח תקווה,421,20,מועצה אזורית דרום השרון,141,1,696,671,671,,25,1935,310,1,191281677989,61,417,10002133,2024,Gan Hayyim,אשכול רשויות השרון,5520,דרום השרון,3
גן יאשיה,734,GAN YOSHIYYA,4,המרכז,41,השרון,412,16,מועצה אזורית עמק חפר,141,1,990,909,909,,81,1949,310,1,199625695211,32,409,15000060,2024,Gan Yoshiyya,ללא שיוך לאשכול,5516,עמק חפר,3
גן יבנה,166,GAN YAVNE,4,המרכז,44,רחובות,441,99,מועצה מקומית,143,1,"25,144","25,007","24,920",87,137,1931,160,,172479632954,39,429,10001821,2024,Gan Yavne,ללא שיוך לאשכול,166,גן יבנה,2
גן נר,1274,GAN NER,2,הצפון,23,יזרעאל,232,8,מועצה אזורית הגלבוע,,1,"2,657","2,621","2,620",1,36,1987,190,,232015715314,155,204,10004394,2024,Gan Ner,אשכול רשויות הגליל והעמקים,5508,הגלבוע,3
גן שורק,311,GAN SOREQ,4,המרכז,44,רחובות,442,27,מועצה אזורית גן רווה,143,1,322,305,304,1,17,1950,310,1,177534650296,37,456,15002488,2024,Gan Soreq,ללא שיוך לאשכול,5527,גן רווה,3
גן שלמה,144,GAN SHELOMO,4,המרכז,44,רחובות,441,28,מועצה אזורית ברנר,143,1,665,626,626,,39,1927,330,15,181071642877,45,456,15002488,2024,Gan Shelomo,אשכול רשויות שורק דרומי,5528,ברנר,3
גן שמואל,72,GAN SHEMU'EL,3,חיפה,32,חדרה,324,14,מועצה אזורית מנשה,,1,"1,226","1,134","1,133",1,92,1913,330,15,195584706490,23,351,10004261,2024,Gan Shemu'el,אשכול רשויות מישור החוף,5514,מנשה,3
גנות,836,GANNOT,4,המרכז,43,רמלה,432,40,מועצה אזורית שדות דן,133,1,476,471,471,,5,1953,310,10,183942658369,27,425,10002207,2024,Gannot,ללא שיוך לאשכול,5540,שדות דן,3
גנות הדר,549,GANNOT HADAR,4,המרכז,41,השרון,411,18,מועצה אזורית לב השרון,141,1,954,952,952,,2,1964,350,,190843691918,49,412,15000060,2024,Gannot Hadar,אשכול רשויות השרון,5518,לב השרון,3
גני הדר,1103,GANNE HADAR,4,המרכז,43,רמלה,432,30,מועצה אזורית גזר,143,1,387,373,373,,14,1958,350,,186270642893,89,426,10002241,2024,Ganne Hadar,ללא שיוך לאשכול,5530,גזר,3
גני טל,1371,GANNE TAL,4,המרכז,44,רחובות,441,31,מועצה אזורית נחל שורק,143,1,"1,070",949,949,,121,2010,370,2,180399632936,78,456,15002488,2024,Ganne Tal,אשכול רשויות שורק דרומי,5531,נחל שורק,3
גני יוחנן,862,GANNE YOHANAN,4,המרכז,44,רחובות,441,30,מועצה אזורית גזר,143,1,775,670,670,,105,1950,310,1,184803640642,63,426,10002241,2024,Ganne Yohanan,ללא שיוך לאשכול,5530,גזר,3
גני מודיעין,3823,GANNE MODI'IN,7,אזור יהודה ושומרון,74,ראמאללה,,73,מועצה אזורית מטה בנימין,,1,"3,260","3,242","3,242",,18,1996,190,,201756648472,236,711,10004054,2024,Ganne Modi'in,אשכול יהודה ושומרון,5573,מטה בנימין,3
גני עם,218,GANNE AM,4,המרכז,42,פתח תקווה,421,20,מועצה אזורית דרום השרון,142,1,278,255,255,,23,1934,350,,190878673143,33,417,10002133,2024,Ganne Am,אשכול רשויות השרון,5520,דרום השרון,3
גני תקווה,229,GANNE TIQWA,4,המרכז,42,פתח תקווה,422,0,עירייה,132,1,"25,487","25,106","25,084",22,381,1953,160,,188349663033,74,428,10001516,2024,Ganne Tiqwa,ללא שיוך לאשכול,229,גני תקווה,1
געש,842,GA'ASH,4,המרכז,41,השרון,411,19,מועצה אזורית חוף השרון,141,1,957,916,916,,41,1951,330,15,183666681788,29,401,15000060,2024,Ga'ash,ללא שיוך לאשכול,5519,חוף השרון,3
געתון,463,GA'TON,2,הצפון,24,עכו,243,4,מועצה אזורית מטה אשר,,1,733,700,698,2,33,1948,330,15,220464767926,346,201,10004302,2024,Ga'ton,אשכול רשויות גליל מערבי,5504,מטה אשר,3
גפן,39,GEFEN,1,ירושלים,11,ירושלים,112,26,מועצה אזורית מטה יהודה,,1,422,396,396,,26,1955,310,2,188573627617,159,151,15000597,2024,Gefen,ללא שיוך לאשכול,5526,מטה יהודה,3
גרופית,1129,GEROFIT,6,הדרום,62,באר שבע,625,53,מועצה אזורית חבל אילות,,1,338,278,278,,60,1963,330,15,205946428068,117,608,10001955,2024,Gerofit,אשכול רשויות נגב מזרחי,5553,חבל אילות,3
גשור,4022,GESHUR,2,הצפון,29,גולן,294,71,מועצה אזורית גולן,,1,357,331,331,,26,1971,330,15,267455747240,347,224,10004579,2024,Geshur,אשכול רשויות גליל מזרחי,5571,גולן,3
גשר,305,GESHER,2,הצפון,23,יזרעאל,231,7,מועצה אזורית עמק המעיינות,,1,458,437,435,2,21,1939,330,15,252000725187,-198,202,10004568,2024,Gesher,אשכול רשויות הכנרת והעמקים,5507,עמק המעיינות,3
גשר הזיו,574,GESHER HAZIW,2,הצפון,24,עכו,245,4,מועצה אזורית מטה אשר,241,1,"1,513","1,486","1,481",5,27,1949,330,15,210789771499,20,201,10004302,2024,Gesher HaZiw,אשכול רשויות גליל מערבי,5504,מטה אשר,3
גת (קיבוץ),340,GAT(QIBBUZ),6,הדרום,61,אשקלון,611,35,מועצה אזורית יואב,,1,945,907,907,,38,1941,330,15,180582615119,140,632,10001813,2024,Gat(Qibbuz),אשכול רשויות שורק דרומי,5535,יואב,3
גת רימון,128,GAT RIMMON,4,המרכז,42,פתח תקווה,422,20,מועצה אזורית דרום השרון,132,1,267,262,262,,5,1926,350,,188844663953,67,417,10002116,2024,Gat Rimmon,אשכול רשויות השרון,5520,דרום השרון,3
דאלית אל-כרמל,494,DALIYAT AL-KARMEL,3,חיפה,31,חיפה,311,99,מועצה מקומית,223,2,"18,363","18,300",77,"18,223",63,,270,,205089733250,414,356,15005224,2024,Daliyat Al-Karmel,אשכול רשויות המפרץ,494,דאלית אל-כרמל,2
דבורה,146,DEVORA,2,הצפון,23,יזרעאל,234,8,מועצה אזורית הגלבוע,,1,339,321,319,2,18,1956,310,1,225051717622,69,204,10004394,2024,Devora,אשכול רשויות הגליל והעמקים,5508,הגלבוע,3
דבורייה,489,DABURIYYA,2,הצפון,23,יזרעאל,237,99,מועצה מקומית,,2,"10,830","10,820",30,"10,790",10,,270,,235129732997,159,251,15002472,2024,Daburiyya,אשכול רשויות הגליל והעמקים,489,דבורייה,2
דביר,849,DVIR,6,הדרום,62,באר שבע,623,41,מועצה אזורית בני שמעון,341,1,"1,197","1,178","1,171",7,19,1951,330,15,183169591349,306,625,10001937,2024,Dvir,אשכול רשויות נגב מערבי,5541,בני שמעון,3
דברת,407,DAVERAT,2,הצפון,23,יזרעאל,234,9,מועצה אזורית עמק יזרעאל,,1,613,609,606,3,4,1946,330,15,233069728170,169,254,10004394,2024,Daverat,אשכול רשויות הגליל והעמקים,5509,עמק יזרעאל,3
דגניה א',62,DEGANYA ALEF,2,הצפון,22,כנרת,221,6,מועצה אזורית עמק הירדן,,1,664,638,634,4,26,1909,330,15,254180734892,-200,214,10004552,2024,Deganya Alef,אשכול רשויות הכנרת והעמקים,5506,עמק הירדן,3
דגניה ב',79,DEGANYA BET,2,הצפון,22,כנרת,221,6,מועצה אזורית עמק הירדן,,1,765,745,744,1,20,1920,330,15,254213734039,-199,214,10004552,2024,Deganya Bet,אשכול רשויות הכנרת והעמקים,5506,עמק הירדן,3
"דוב""ב",1067,DOVEV,2,הצפון,24,עכו,244,2,מועצה אזורית מרום הגליל,,1,515,503,501,2,12,1963,310,1,238396772975,770,209,10004528,2024,Dovev,אשכול רשויות גליל מזרחי,5502,מרום הגליל,3
דולב,3747,DOLEV,7,אזור יהודה ושומרון,74,ראמאללה,,73,מועצה אזורית מטה בנימין,,1,"1,593","1,587","1,587",,6,1983,370,11,212719648166,557,711,10004054,2024,Dolev,אשכול יהודה ושומרון,5573,מטה בנימין,3
דור,738,DOR,3,חיפה,32,חדרה,321,15,מועצה אזורית חוף הכרמל,243,1,503,454,454,,49,1949,310,1,192918723729,4,303,10004333,2024,Dor,אשכול רשויות מישור החוף,5515,חוף הכרמל,3
דורות,336,DOROT,6,הדרום,61,אשקלון,614,37,מועצה אזורית שער הנגב,,1,887,871,868,3,16,1941,330,15,166317601757,104,651,10001829,2024,Dorot,אשכול רשויות נגב מערבי,5537,שער הנגב,3
דחי,475,DAHI,2,הצפון,23,יזרעאל,234,66,מועצה אזורית בוסתן אל-מרג',,2,668,668,,668,,,450,,232583725198,415,251,10004394,2024,Dahi,אשכול רשויות הגליל והעמקים,5566,בוסתן אל-מרג',3
דייר אל-אסד,490,DEIR AL-ASAD,2,הצפון,24,עכו,242,99,מועצה מקומית,,2,"12,620","12,597",5,"12,592",23,,270,,225313760138,468,260,15002358,2024,Deir Al-Asad,אשכול רשויות בית הכרם הגלילי,490,דייר אל-אסד,2
דייר חנא,492,DEIR HANNA,2,הצפון,24,עכו,241,99,מועצה מקומית,,2,"10,762","10,752",8,"10,744",10,,270,,234808752008,225,262,10004513,2024,Deir Hanna,ללא שיוך לאשכול,492,דייר חנא,2
דייר ראפאת,493,DEIR RAFAT,1,ירושלים,11,ירושלים,112,26,מועצה אזורית מטה יהודה,444,2,86,86,1,85,,,440,,195084631564,247,151,15000597,2024,Deir Rafat,ללא שיוך לאשכול,5526,מטה יהודה,3
דימונה,2200,DIMONA,6,הדרום,62,באר שבע,626,0,עירייה,,1,"39,590","38,912","37,907","1,005",678,1955,160,,203390553250,454,607,10001918,2024,Dimona,אשכול רשויות נגב מזרחי,2200,דימונה,1
דישון,2063,DISHON,2,הצפון,21,צפת,212,55,מועצה אזורית מבואות החרמון,,1,419,372,371,1,47,1953,310,6,248824776372,443,253,10004591,2024,Dishon,אשכול רשויות גליל מזרחי,5555,מבואות החרמון,3
דלייה,300,DALIYYA,2,הצפון,23,יזרעאל,236,13,מועצה אזורית מגידו,,1,883,859,859,,24,1939,330,15,207294721717,201,254,10004411,2024,Daliyya,אשכול רשויות הגליל והעמקים,5513,מגידו,3
דלתון,431,DALTON,2,הצפון,21,צפת,212,2,מועצה אזורית מרום הגליל,,1,"1,019",995,995,,24,1950,310,2,246053769123,807,209,10004528,2024,Dalton,אשכול רשויות גליל מזרחי,5502,מרום הגליל,3
דמיידה,1317,DEMEIDE,2,הצפון,24,עכו,241,56,מועצה אזורית משגב,241,2,624,624,,624,,,450,,221630746739,203,205,10004513,2024,Demeide,אשכול רשויות בית הכרם הגלילי,5556,משגב,3
דן,303,DAN,2,הצפון,21,צפת,211,1,מועצה אזורית הגליל העליון,,1,839,818,817,1,21,1939,330,15,261245793938,176,253,10004591,2024,Dan,אשכול רשויות גליל מזרחי,5501,הגליל העליון,3
דפנה,302,DAFNA,2,הצפון,21,צפת,211,1,מועצה אזורית הגליל העליון,,1,"1,038","1,013","1,013",,25,1939,330,15,259917792803,140,253,10004591,2024,Dafna,אשכול רשויות גליל מזרחי,5501,הגליל העליון,3
